date,description,category,amount
2025-01-02,Store rent,Rent,3200
2025-01-06,Staff payroll,Payroll,2900
2025-01-11,Inventory shipment,Inventory,1980
2025-01-18,Utilities bill,Utilities,530
2025-01-25,Marketing campaign,Marketing,580
2025-02-02,Store rent,Rent,3200
2025-02-06,Staff payroll,Payroll,2800
2025-02-11,Inventory shipment,Inventory,1750
2025-02-18,Utilities bill,Utilities,585
2025-02-25,Marketing campaign,Marketing,660
2025-03-02,Store rent,Rent,3250
2025-03-06,Staff payroll,Payroll,3070
2025-03-11,Inventory shipment,Inventory,1650
2025-03-18,Utilities bill,Utilities,530
2025-03-25,Marketing campaign,Marketing,760
2025-04-02,Store rent,Rent,3250
2025-04-06,Staff payroll,Payroll,3070
2025-04-11,Inventory shipment,Inventory,1800
2025-04-18,Utilities bill,Utilities,555
2025-04-25,Marketing campaign,Marketing,580
2025-05-02,Store rent,Rent,3200
2025-05-06,Staff payroll,Payroll,3070
2025-05-11,Inventory shipment,Inventory,2120
2025-05-18,Utilities bill,Utilities,500
2025-05-25,Marketing campaign,Marketing,850
2025-06-02,Store rent,Rent,3225
2025-06-06,Staff payroll,Payroll,2800
2025-06-11,Inventory shipment,Inventory,1800
2025-06-18,Utilities bill,Utilities,530
2025-06-25,Marketing campaign,Marketing,660
2025-07-02,Store rent,Rent,3250
2025-07-06,Staff payroll,Payroll,2800
2025-07-11,Inventory shipment,Inventory,2050
2025-07-18,Utilities bill,Utilities,585
2025-07-25,Marketing campaign,Marketing,700
2025-08-02,Store rent,Rent,3200
2025-08-06,Staff payroll,Payroll,3070
2025-08-11,Inventory shipment,Inventory,1650
2025-08-18,Utilities bill,Utilities,585
2025-08-25,Marketing campaign,Marketing,700
2025-09-02,Store rent,Rent,3200
2025-09-06,Staff payroll,Payroll,2900
2025-09-11,Inventory shipment,Inventory,1800
2025-09-18,Utilities bill,Utilities,480
2025-09-25,Marketing campaign,Marketing,800
2025-10-02,Store rent,Rent,3200
2025-10-06,Staff payroll,Payroll,3070
2025-10-11,Inventory shipment,Inventory,1800
2025-10-18,Utilities bill,Utilities,530
2025-10-25,Marketing campaign,Marketing,580
2025-11-02,Store rent,Rent,3200
2025-11-06,Staff payroll,Payroll,2980
2025-11-11,Inventory shipment,Inventory,2120
2025-11-18,Utilities bill,Utilities,500
2025-11-25,Marketing campaign,Marketing,660
2025-12-02,Store rent,Rent,3200
2025-12-06,Staff payroll,Payroll,2900
2025-12-11,Inventory shipment,Inventory,1980
2025-12-18,Utilities bill,Utilities,430
2025-12-25,Marketing campaign,Marketing,580
